latitude,longitude,price,beds
37.29462,-79.98015,179999,4.0
37.119522,-80.571625,189950,3.0
37.278477,-79.99692,194950,3.0
37.130337,-80.23393,221000,3.0
37.330673,-79.948006,186000,3.0
37.270954,-79.924194,199900,5.0
37.310463,-79.93291,199950,3.0
37.304356,-79.95221,185000,3.0
37.28345,-79.99583,149995,3.0
37.31656,-79.918175,194900,3.0
37.282288,-80.06631,129950,3.0
37.118664,-80.67466,179900,3.0
37.307068,-79.93641,194950,3.0
37.167576,-80.46326,199900,3.0
37.293568,-80.114944,249950,4.0
37.29233,-79.99361,174995,5.0
37.09923,-80.50278,170000,3.0
37.321594,-80.00981,246500,4.0
37.201336,-80.03149,159950,2.0
37.10825,-80.2542,219900,3.0
37.270714,-79.927345,89500,2.0
37.12511,-80.42337,150000,2.0
37.114265,-80.58395,189900,3.0
37.133472,-80.40025,80000,3.0
37.24259,-79.99353,249950,3.0
37.289963,-79.924805,145999,2.0
37.29212,-80.019485,214950,3.0
37.13339,-80.40049,110000,3.0
37.28721,-80.01674,199950,3.0
37.320526,-79.93813,229950,3.0
37.28926,-80.10142,184950,4.0
37.126766,-80.41888,179900,3.0
37.131332,-80.30788,174950,3.0
37.30292,-79.9373,139950,2.0
37.272915,-80.00192,169950,3.0
37.288666,-79.95637,149950,3.0
37.28914,-79.97335,145000,2.0
37.267776,-79.94972,213700,3.0
37.227047,-79.92718,159950,2.0
37.31406,-80.016235,209950,4.0
37.231514,-79.928,169000,2.0
37.291092,-80.07404,189900,3.0
37.270916,-79.92818,179999,3.0
37.2611,-80.16166,225000,5.0
37.24166,-80.02823,249950,4.0
37.29261,-80.01105,155000,3.0
37.121017,-80.58534,179900,3.0
37.31326,-79.956085,164950,3.0
37.285038,-80.050026,180000,3.0
37.306034,-79.95624,189950,3.0
37.264038,-79.96311,205000,3.0
37.14492,-80.563225,140000,2.0
37.297718,-79.95308,174900,3.0
37.132793,-80.3931,139900,2.0
37.27747,-79.94861,135000,3.0
37.294857,-79.941025,169950,3.0
37.306686,-80.0255,219000,2.0
37.232456,-79.92768,208000,3.0
37.309525,-79.95784,132500,2.0
37.245518,-80.03604,249900,3.0
37.291355,-79.91366,159950,3.0
37.317757,-79.994255,210000,3.0
37.312557,-79.95541,159950,3.0
37.274723,-80.0054,198950,4.0
37.174213,-80.068565,177321,2.0
37.293427,-80.0602,174500,3.0
37.268772,-79.95186,229950,3.0
37.297134,-79.94205,235000,4.0
37.05941,-80.50492,209000,4.0
37.259335,-79.911674,129950,2.0
37.12406,-80.41165,174900,3.0
37.32099,-79.956276,187000,3.0
37.31864,-79.94285,235000,4.0
37.33045,-80.01427,219950,3.0
37.343033,-79.97879,239950,2.0
37.296616,-79.97213,174950,4.0
37.3096,-79.94013,179000,3.0
37.287598,-79.98482,85000,3.0
37.254845,-79.99604,244950,4.0
37.313206,-79.92743,174888,2.0
37.266922,-79.93168,149950,4.0
37.316044,-80.02086,225000,4.0
37.218132,-79.99153,239900,2.0
37.12375,-80.50582,250000,2.0
37.355175,-80.04623,159900,5.0
37.235626,-80.00222,169999,2.0
37.29101,-80.088425,249000,3.0
37.231537,-79.996376,237900,3.0
37.29636,-80.01675,125000,2.0
37.31463,-79.93438,194500,3.0
37.310604,-80.0219,249900,4.0
37.26455,-79.931046,225000,4.0
37.310127,-80.030045,199950,3.0
37.283436,-80.016396,170000,3.0
37.33961,-80.68503,249500,4.0
37.26733,-79.91577,128500,3.0
37.314926,-79.93875,239950,4.0
37.125713,-80.57392,225000,3.0
37.249428,-80.26106,205000,3.0
37.29648,-79.94,214999,5.0
37.14896,-80.40366,118000,2.0
37.20682,-79.98761,159950,2.0
37.310905,-79.99925,249995,3.0
37.257626,-79.93494,250000,3.0
37.289547,-79.98272,214950,4.0
37.276398,-79.96434,42900,2.0
37.304558,-80.01742,174995,3.0
37.284378,-79.95118,169000,3.0
37.11782,-80.39838,239900,3.0
37.22787,-79.92748,175000,4.0
37.24671,-79.96482,165950,2.0
37.220207,-80.21641,164900,3.0
37.082798,-80.24132,239500,2.0
37.281162,-80.120056,226000,3.0
37.131054,-80.55452,219900,2.0
